  0,   5,  40
  5,   6,  45
  6,   7,  46
  7,   8,  47
  8,   9,  48
  9,   1,  10
  5,  45,  40
  6,  46,  45
  7,  47,  46
  8,  48,  47
  9,  10,  48
 40,  45,  41
 45,  46,  49
 46,  47,  50
 47,  48,  51
 48,  10,  11
 45,  49,  41
 46,  50,  49
 47,  51,  50
 48,  11,  51
 41,  49,  42
 49,  50,  52
 50,  51,  53
 51,  11,  12
 49,  52,  42
 50,  53,  52
 51,  12,  53
 42,  52,  43
 52,  53,  54
 53,  12,  13
 52,  54,  43
 53,  13,  54
 43,  54,  44
 54,  13,  14
 54,  14,  44
 44,  14,   2
  0,  40,  30
 40,  41,  55
 41,  42,  56
 42,  43,  57
 43,  44,  58
 44,   2,  20
 40,  55,  30
 41,  56,  55
 42,  57,  56
 43,  58,  57
 44,  20,  58
 30,  55,  31
 55,  56,  59
 56,  57,  60
 57,  58,  61
 58,  20,  21
 55,  59,  31
 56,  60,  59
 57,  61,  60
 58,  21,  61
 31,  59,  32
 59,  60,  62
 60,  61,  63
 61,  21,  22
 59,  62,  32
 60,  63,  62
 61,  22,  63
 32,  62,  33
 62,  63,  64
 63,  22,  23
 62,  64,  33
 63,  23,  64
 33,  64,  34
 64,  23,  24
 64,  24,  34
 34,  24,   3
  0,  30,  25
 30,  31,  65
 31,  32,  66
 32,  33,  67
 33,  34,  68
 34,   3,  35
 30,  65,  25
 31,  66,  65
 32,  67,  66
 33,  68,  67
 34,  35,  68
 25,  65,  26
 65,  66,  69
 66,  67,  70
 67,  68,  71
 68,  35,  36
 65,  69,  26
 66,  70,  69
 67,  71,  70
 68,  36,  71
 26,  69,  27
 69,  70,  72
 70,  71,  73
 71,  36,  37
 69,  72,  27
 70,  73,  72
 71,  37,  73
 27,  72,  28
 72,  73,  74
 73,  37,  38
 72,  74,  28
 73,  38,  74
 28,  74,  29
 74,  38,  39
 74,  39,  29
 29,  39,   4
  0,  25,   5
 25,  26,  75
 26,  27,  76
 27,  28,  77
 28,  29,  78
 29,   4,  19
 25,  75,   5
 26,  76,  75
 27,  77,  76
 28,  78,  77
 29,  19,  78
  5,  75,   6
 75,  76,  79
 76,  77,  80
 77,  78,  81
 78,  19,  18
 75,  79,   6
 76,  80,  79
 77,  81,  80
 78,  18,  81
  6,  79,   7
 79,  80,  82
 80,  81,  83
 81,  18,  17
 79,  82,   7
 80,  83,  82
 81,  17,  83
  7,  82,   8
 82,  83,  84
 83,  17,  16
 82,  84,   8
 83,  16,  84
  8,  84,   9
 84,  16,  15
 84,  15,   9
  9,  15,   1
